"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"697","1912","313",313,"Liberal",0.195134785072452,4,0.25,0.487938152675463,0.143770743948838,1,0,0.146687293222277,-0.129248595505618,-3681,24706,0.86748595505618
"698","1903","314",314,"Conservative",0.104856960482795,4,0.4,0.451343352869495,-0.173794464109557,0,0,0.0591584909656826,0.0659968743022996,1478,17233,0.769502121009154
"699","1907","314",314,"Liberal",0.0428124834419542,4,0,0.418269485508398,-0.193239018703969,0,0,0.113171114696708,-0.0148421413864105,-346,18873,0.809583047357584
"700","1912","314",314,"Liberal",0.0680758162151434,4,0.2,0.37838642453111,0.00441599682445176,1,1,0.23807439085855,-0.0763723150357996,-1856,20154,0.82931445971525
"701","1893","315",315,"Liberal",0.136772301217879,4,0,0.426449021233182,-0.223171587068801,0,0,0.20997130929379,0.0173604261195502,352,15683,0.773476030775301
"702","1898","315",315,"Conservative",0.0558260305095748,4,0.4,0.392145407335281,-0.285621551444336,1,1,0.18226972457114,0.0321074419948012,667,15405,0.741551939924906
"703","1903","315",315,"Liberal",0.0818535914766869,5,0,0.30782449306908,-0.0929659754840188,1,1,0.306511124289512,-0.114148766199183,-2572,17458,0.774809160305344
"704","1907","315",315,"Liberal",0.105085088117962,4,0,0.431045801141241,-0.11366964601323,1,1,0.16637348990538,0.0177874732558627,424,19803,0.830767294542098
"705","1912","315",315,"Liberal",0.0290327216978872,3,0.25,0.365496095434293,-0.0424471805681982,0,0,0.264142588377373,-0.0173024635412375,-420,20873,0.859891241657741
"706","1890","316",316,"Liberal",0.029573109914223,4,0,0.451625772990225,-0.399261919010573,0,0,0.0670521884040254,0.065069642557476,1551,20052,0.841248531632824
"707","1898","316",316,"Liberal",0.015196677253848,4,0,0.304813095528952,-0.0922062057170779,0,0,0.322646458471923,0.0044861802836178,118,20465,0.778048131391856
"708","1903","316",316,"Liberal",0.0271542518415203,5,0,0.337401386043673,-0.0479884932223336,0,1,0.302238253595966,-0.0534740545294635,-1520,22943,0.807141600703606
"709","1907","316",316,"Liberal",0.081779939022037,3,0.6,0.402338775037629,-0.0473158118173748,0,0,0.125942656043907,0.0275757675474678,838,25911,0.852644048833459
"710","1912","316",316,"Liberal",0.108147347807003,4,0.25,0.403653307222203,0.0193469966573252,0,0,0.150864335037637,-0.156608754374118,-5102,29617,0.909110442629996
"711","1890","317",317,"Liberal",0.0354212111768983,5,0.2,0.315726602264465,-0.104238080398878,0,0,0.264709346435979,0.0495198197842153,1253,19254,0.760937438248429
"712","1893","317",317,"Conservative",0.055040733197556,4,0.4,0.368024439918534,-0.128462321792261,0,0,0.202572864502812,0.0179318818876473,467,19640,0.754137388165726
"713","1898","317",317,"Liberal",0.011872399445215,4,0.4,0.283328710124827,0.0628016643550624,1,0,0.223502311960433,0.0520833333333333,1445,18025,0.649690023068051
"714","1903","317",317,"Catholic",0.210547378718485,5,0,0.186535639646049,0.231446484948197,1,1,0.15803218581012,-0.149750852347233,-4568,22489,0.737247574088644
